date,predicted_revenue
2016-01-01,2866.3132
2016-01-02,2847.6128
2016-01-03,2847.6128
2016-01-04,2851.7334
2016-01-05,2851.7334
2016-01-06,2851.7334
2016-01-07,2850.625
2016-01-08,2850.625
2016-01-09,2847.2932
2016-01-10,2846.9268
2016-01-11,2851.3987
2016-01-12,2850.4534
2016-01-13,2851.1748
2016-01-14,2850.0664
2016-01-15,2851.8872
2016-01-16,2848.875
2016-01-17,2848.875
2016-01-18,2853.16
2016-01-19,2853.16
2016-01-20,2854.8953
2016-01-21,2853.6226
2016-01-22,2853.6226
2016-01-23,2850.6104
2016-01-24,2850.6104
2016-01-25,2854.8953
2016-01-26,2854.8953
2016-01-27,2854.8953
2016-01-28,2853.6226
2016-01-29,2854.7646
2016-01-30,2855.2017
2016-01-31,2855.2017
2016-02-01,2849.857
2016-02-02,2851.7334
2016-02-03,2851.7334
2016-02-04,2850.625
2016-02-05,2850.625
2016-02-06,2847.6128
2016-02-07,2847.6128
2016-02-08,2851.7334
2016-02-09,2851.4138
2016-02-10,2851.0474
2016-02-11,2852.2598
2016-02-12,2851.3145
2016-02-13,2847.0542
2016-02-14,2847.0542
2016-02-15,2852.9956
2016-02-16,2852.9956
2016-02-17,2852.9956
2016-02-18,2851.8872
2016-02-19,2851.8872
2016-02-20,2850.6104
2016-02-21,2850.6104
2016-02-22,2854.8953
2016-02-23,2854.8953
2016-02-24,2854.8953
2016-02-25,2853.6226
2016-02-26,2853.6226
2016-02-27,2850.6104
2016-02-28,2850.6104
2016-02-29,2856.0374
2016-03-01,2849.857
2016-03-02,2851.7334
2016-03-03,2850.625
2016-03-04,2850.625
2016-03-05,2847.6128
2016-03-06,2847.6128
2016-03-07,2851.7334
2016-03-08,2851.7334
2016-03-09,2851.4138
2016-03-10,2849.939
2016-03-11,2852.2598
2016-03-12,2848.3022
2016-03-13,2847.0542
2016-03-14,2851.1748
2016-03-15,2852.9956
2016-03-16,2852.9956
2016-03-17,2851.8872
2016-03-18,2851.8872
2016-03-19,2848.875
2016-03-20,2850.6104
2016-03-21,2854.8953
2016-03-22,2854.8953
2016-03-23,2854.8953
2016-03-24,2853.6226
2016-03-25,2853.6226
2016-03-26,2850.6104
2016-03-27,2850.6104
2016-03-28,2854.8953
2016-03-29,2856.0374
2016-03-30,2859.4866
